
> nodebb@3.8.4 jest
> jest

-----------------------|---------|----------|---------|---------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
File                   | % Stmts | % Branch | % Funcs | % Lines | Uncovered Line #s                                                                                                                                                                                                                                             
-----------------------|---------|----------|---------|---------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
All files              |   46.63 |    76.59 |     9.8 |   46.63 |                                                                                                                                                                                                                                                               
 public/src            |   61.43 |      100 |       0 |   61.43 |                                                                                                                                                                                                                                                               
  utils.common.js      |   61.43 |      100 |       0 |   61.43 | 14-16,279-297,301-302,306-319,323,327,331,335,339-340,345,348-355,359-369,373,403,407,411-412,416-425,432-435,439,443-452,457,461-472,496,500-507,511-513,517,521-529,533-543,548-560,565-601,605,609-611,617-636,645-665,669-676,680,684-701,704-719,722-723 
 public/src/modules    |   29.37 |       50 |       4 |   29.37 |                                                                                                                                                                                                                                                               
  slugify.js           |      55 |       40 |       0 |      55 | 6,10-11,24-38                                                                                                                                                                                                                                                 
  translator.common.js |   27.76 |    66.66 |    4.16 |   27.76 | 7-12,21-40,50-218,229-271,281-317,325-339,348-381,389,398-404,415-420,431-457,466-468,477-479,488-493,514-516,520-527,535-558,561-571,578-580,587-588,595,599-623,627-630                                                                                     
 src                   |   49.23 |    77.41 |   21.42 |   49.23 |                                                                                                                                                                                                                                                               
  file.js              |   25.94 |      100 |       0 |   25.94 | 18-35,38-45,49-54,57-76,79-88,91-101,104-117,120-129,132-138,141-146,150-156                                                                                                                                                                                  
  pagination.js        |   98.76 |    88.88 |     100 |   98.76 | 50                                                                                                                                                                                                                                                            
  promisify.js         |   62.29 |    61.53 |   71.42 |   62.29 | 9-10,21-22,27-28,32,34-35,41-46,51-58                                                                                                                                                                                                                         
  slugify.js           |     100 |      100 |     100 |     100 |                                                                                                                                                                                                                                                               
  translator.js        |      50 |      100 |       0 |      50 | 5-9,12-13                                                                                                                                                                                                                                                     
  utils.js             |      32 |      100 |       0 |      32 | 8-9,12-14,18-20,23-32,35-41,44-52,55-67,70-73                                                                                                                                                                                                                 
 src/admin             |   45.77 |      100 |      30 |   45.77 |                                                                                                                                                                                                                                                               
  search.js            |   45.77 |      100 |      30 |   45.77 | 31-34,54-57,61-75,77-85,87-90,92-123,127-135                                                                                                                                                                                                                  
-----------------------|---------|----------|---------|---------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
